item_name,text,Type,Answers,Values,Score: internal_loc_control,Optional,question_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>For each question select the statement that you agree with the most</span></span>,instruct,,,,,,
rot_loc1,,radio,Children get into trouble because their parents punish them too much.|The trouble with most children nowadays is that their parents are too easy with them.,0|1,,No,0%,
rot_loc2,,radio,"Many of the unhappy things in people's lives are partly due to bad luck.|People's misfortunes result from the mistakes they make. ",0|1,1,No,0%,
rot_loc3,,radio,"One of the major reasons why we have wars is because people don't take enough interest in
politics. |There will always be wars, no matter how hard people try to prevent them. ",0|1,r1,No,0%,
rot_loc4,,radio,"In the long run people get the respect they deserve in this world|Unfortunately, an individual's worth often passes unrecognized no matter how hard he tries ",0|1,r1,No,0%,
rot_loc5,,radio,"The idea that teachers are unfair to students is nonsense.|Most students don't realize the extent to which their grades are influenced by accidental
happenings. ",0|1,r1,No,0%,
rot_loc6,,radio,Without the right breaks one cannot be an effective leader.| Capable people who fail to become leaders hive not taken advantage of their opportunities.,0|1,1,No,0%,
rot_loc7,,radio,No matter how hard you try some people just don't like you.| People who can't get others to like them don't understand how to get along with others.,0|1,1,No,0%,
rot_loc8,,radio,"Heredity plays the major role in determining one's personality|It is one's experiences in life which determine what they're like. ",0|1,,No,0%,
rot_loc9,,radio,"I have often found that what is going to happen will happen|Trusting to fate has never turned out as well for me as making a decision to take a definite
course of action.",0|1,1,No,0%,
rot_loc10,,radio,"In the case of the well prepared student there is rarely if ever such a thing as an unfair test.|Many times exam questions tend to be so unrelated to course work that studying in really
useless. ",0|1,r1,No,0%,
rot_loc11,,radio,"Becoming a success is a matter of hard work, luck has little or nothing to do with it. |Getting a good job depends mainly on being in the right place at the right time. ",0|1,r1,No,0%,
rot_loc12,,radio,"The average citizen can have an influence in government decisions.|This world is run by the few people in power, and there is not much the little guy can do
about it.",0|1,r1,No,0%,
rot_loc13,,radio,"When I make plans, I am almost certain that I can make them work.|It is not always wise to plan too far ahead because many things turn out to- be a matter of
good or bad fortune anyhow. ",0|1,r1,No,0%,
rot_loc14,,radio,"There are certain people who are just no good.|There is some good in everybody. ",0|1,,No,0%,
rot_loc15,,radio," In my case getting what I want has little or nothing to do with luck.|Many times we might just as well decide what to do by flipping a coin. ",0|1,r1,No,0%,
rot_loc16,,radio,"Who gets to be the boss often depends on who was lucky enough to be in the right place first.| Getting people to do the right thing depends upon ability. Luck has little or nothing to do
with it. ",0|1,1,No,0%,
rot_loc17,,radio,"As far as world affairs are concerned, most of us are the victims of forces we can neither
understand, nor control.|By taking an active part in political and social affairs the people can control world events.",0|1,1,No,0%,
rot_loc18,,radio,"Most people don't realize the extent to which their lives are controlled by accidental
happenings.|There really is no such thing as ""luck."" ",0|1,1,No,0%,
rot_loc19,,radio,One should always be willing to admit mistakes.|It is usually best to cover up one's mistakes.,0|1,,No,0%,
rot_loc20,,radio,It is hard to know whether or not a person really likes you.|How many friends you have depends upon how nice a person you are.,0|1,1,No,0%,
rot_loc21,,radio,"In the long run the bad things that happen to us are balanced by the good ones.|Most misfortunes are the result of lack of ability, ignorance, laziness, or all three.",0|1,1,No,0%,
rot_loc22,,radio,With enough effort we can wipe out political corruption.|It is difficult for people to have much control over the things politicians do in office.,0|1,r1,No,0%,
rot_loc23,,radio,Sometimes I can't understand how teachers arrive at the grades they give.|There is a direct connection between how hard 1 study and the grades I get.,0|1,1,No,0%,
rot_loc24,,radio,A good leader expects people to decide for themselves what they should do.|A good leader makes it clear to everybody what their jobs are.,0|1,,No,0%,
rot_loc25,,radio,Many times I feel that I have little influence over the things that happen to me.|It is impossible for me to believe that chance or luck plays an important role in my life.,0|1,1,No,0%,
rot_loc26,,radio,"People are lonely because they don't try to be friendly.|There's not much use in trying too hard to please people, if they like you, they like you.",0|1,r1,No,0%,
rot_loc27,,radio,There is too much emphasis on athletics in high school.|Team sports are an excellent way to build character.,0|1,,No,0%,
rot_loc28,,radio,What happens to me is my own doing.|Sometimes I feel that I don't have enough control over the direction my life is taking.,0|1,r1,No,0%,
rot_loc29,,radio,"Most of the time I can't understand why politicians behave the way they do.|In the long run the people are responsible for bad government on a national as well as on a
local level.",0|1,1,No,0%,
,,,,,,,,
